    Ps have (part) atoms    1.0000
damp    A damp is a condition    1.0000
damp condition    Damp conditions encourage growth    1.0000
damper    Dampers are restraint    1.0000
dampness    Dampness is located in cellars    1.0000
damsel    A damsel is a maiden    1.0000
damselfly    Damselflies are slender-bodied dragonflies with relatively weak powers of flight    0.7894
damson    A damson is a plum    1.0000
danaid    A danaid is a butterfly    1.0000
dance band    A dance band is a musical group    1.0000
dance floor    A dance floor is a floor    1.0000
dance hall    A dance hall is a room    1.0000
dance lesson    Dance lessons are lessons    1.0000
dance music    Dance music is music    1.0000
dance school    A dance school is a school    1.0000
dance studio    Dance studios are rooms    1.0000
dance therapy    Dance therapy is psychotherapy    1.0000
dancer    Dancers have (part) material bodies    1.0000
dancing    Dancing are used for exercises    1.0000
dandelion    Dandelions have (part) vegetables    1.0000
dandelion bud    Dandelion buds have taste    1.0000
dandelion green    Dandelion green is a leaf    1.0000
dandelion root    Dandelion root contains inulin, a sugar that is helpful to blood sugar balance    0.7094
dandelion seed    Dandelion seeds fly or float through the air    0.7717
dandelion tea    Dandelion tea makes from leaves    1.0000
dander    Danders are scales    1.0000
dandruff    Dandruff is a common scalp condition in which dead skin cells shed a little faster than normal    0.7580
dandy    Dandies are men    1.0000
danger    Danger causes a desire to lies    1.0000
dangerous animal    Dangerous animals roam oceans    1.0000
dangerous creature    Dangerous creatures can do damage    1.0000
dangerous food    Dangerous foods are ones that allow for rapid and easy bacterial growth and reproduction    0.7524
dangerous intruder    Dangerous intruders invade homes    1.0000
dangerous mammal    Dangerous mammals avoid fire    1.0000
dangerous poison    Dangerous poison causes death    1.0000
dangerous snake    Dangerous snakes produce venom    1.0000
danish pastry    Danish pastry is roll    1.0000
daphne    Daphnes are nymph    1.0000
daphnia    A daphnia is a crustacean    1.0000
dapple    A dapple is a marking    1.0000
dapsone    Dapsones are drugs    1.0000
dare    A dare is challenge    1.0000
daredevil    A daredevil is an adventurer    1.0000
dark    A dark is illumination    1.0000
dark adaptation    Dark adaptation is adaptation    1.0000
dark aerosol    Dark aerosols lead to the increased absorption of solar radiation    0.7848
dark area    Dark areas are lung tissue and light areas image the heart    0.7505
dark blob    Dark blobs are masses of fungal hyphae in cortical cells of root    0.8226
dark blue    Dark blue is blue    1.0000
dark cell    Dark cells are cells which have many of that species and brighter cells have little    0.7711
dark chocolate    Dark chocolate contains nutrients    1.0000
dark circle    Dark circles are just deeply pigmented areas around the eyes     0.7384
dark cloud    Dark clouds produce precipitation    1.0000
dark comedy    A dark comedy is a comedy    1.0000
dark current    Dark current is the electric current caused by background noise    0.7172
dark dip sauce    Dark dip sauces make from vinegar    1.0000
dark dot    Dark dots are nuclei    0.8280
dark feather    Dark feathers have tips    1.0000
dark goose    Dark geese have salt glands    1.0000
dark green plant    Dark green plants have branches    1.0000
dark green vegetable    Dark green vegetables contain amounts    1.0000
dark line    Dark lines are contact lines which separate different geologic units    0.7179
dark lord    Dark lords have senses    1.0000
dark matter    Dark matter consists as an unidentified substance that interacts only slightly with ordinary matter    0.7225
dark meat    Dark meat is meat    1.0000
dark mineral    Dark minerals occur as phenocrysts and in the lamprophyre groundmass    0.7544
dark nebula    Dark nebulae are the only nebulae dense and cool enough to allow stars to form    0.7185
dark object    Dark objects absorb visible light    0.7185
dark pine    Dark pine absorbs sunlight    1.0000
dark ray    Dark rays form when clouds cast their shadows on the surrounding air    0.7205
dark red    Dark red is red    1.0000
dark red flower    Dark red flowers bloom in summer    1.0000
dark region    Dark regions are locations near the cloud tops where the level of sulfur dioxide is greatest    0.7234
dark respiration    Dark respiration taking place in plants is independent of the presence of light    0.7488
dark shadow    Dark shadows reduce light    1.0000
dark skin    Dark skin absorbs heat    1.0000
dark spot    Dark spots are natural things    1.0000
dark water    Dark water absorbs sunlight    1.0000
darkness    Darkness is the absence of energy    0.7362
darkroom    A darkroom is a room    1.0000
darling    Darlings have (part) legs    1.0000
darner    A darner is a fixer    1.0000
dart    Dart isa projectile    1.0000
darter    Darters are cormorant-like water birds with very long necks and long, straight beaks    0.7890
darwin theory    Darwin theories have components    1.0000
dash    Dashs are elegance    1.0000
dash diet    Dash diets emphasize vegetables    1.0000
dashboard    Dashboards have (part) sections    1.0000
dassie    Dassie isa mammal    1.0000
dassie rat    Dassie rats have eyes    1.0000
data    Data isa collection    1.0000
data communication    Data communication is electronic communication    1.0000
data conversion    A data conversion is a conversion    1.0000
data file    A data file is a record    1.0000
data format    A data format is information    1.0000
data link    A data link is a circuit    1.0000
data model    Data models are models    1.0000
data point    A data point is information    1.0000
data processor    A data processor is a machine    1.0000
data rate    A data rate is a rate    1.0000
data structure    Data structures are mechanisms that organize information    0.7215
data system    A data system is a system    1.0000
database    Databases include topics    1.0000
database administrator    Database administrators work on teams    1.0000
database management    Database management is management    1.0000
database manager    Database managers are software    1.0000
date    Dates have (part) nights    1.0000
date palm    Date palms are dioecious, ie, they have male and female parts on different plants    0.7600
date palm tree    Date palm trees grow along riverbanks    1.0000
date rape    Date rape involves the sexual use of someone's body without consent    0.7408
date sugar    Date sugar is a powder made of dried, ground dates    0.7269
dateline    Datelines are lines    1.0000
dating    Dating cause marriages    1.0000
datum    Datums are information    1.0000
daughter    Daughters have (part) plasma membranes    1.0000
daughter cell    Daughter cells are offsprings    1.0000
daughter frond    Daughter fronds remain fronds    1.0000
daw    A daw is a bird    1.0000
dawn    A dawn is a hour    1.0000
day    Days have (part) middays    1.0000
day bed    A day bed is a sofa bed    1.0000
day book    A day book is a record    1.0000
day camp    Day camps are camps    1.0000
day embryo    Day embryos develop into embryos    1.0000
day gecko    Day geckos feed on insects    1.0000
day health experience    Day health experience changes life    1.0000
day laborer    A day laborer is a laborer    1.0000
day length    Day length is defined as the duration of the light period from sunrise to sunset    0.7408
day lily    A day lily is a bulbous plant    1.0000
day plant    Day plants produce more flowers    1.0000
day shift    A day shift is a shift    1.0000
day surgery area    Day surgery areas provide comfort    1.0000
day trading    Day trading is stock trading    1.0000
day trip    Day trips are travel    1.0000
day tripper    Day trippers are singles    1.0000
daybook    A daybook is a ledger    1.0000
daybreak    A daybreak is a hour    1.0000
daycare    Daycares are childcare    1.0000
daydream    Daydreams are located in space    1.0000
daydreaming    Daydreamings cause accidents    1.0000
dayflower    A dayflower is a herb    1.0000
daylight    Daylight isa period    1.0000
daylight saving    A daylight saving is time    1.0000
daylight vision    Daylight vision is vision    1.0000
daylily    Daylilies are hardy herbaceous plants with a perennial growth habit    0.7949
daylily rust    Daylily rust is the particular fungal pathogen 'Puccinia hemerocallidis    0.7594
daystar    Daystars are broadcast networks    1.0000
daytime    Daytime isa period    1.0000
daytime sleepiness    Daytime sleepiness is due to disturbed sleep    0.7298
daytime temperature    Daytime temperature ranges from cs    1.0000
deacon    Deacons are priests    1.0000
deaconess    Deaconesses are deacons    1.0000
deactivation    Deactivations are terminations    1.0000
dead    A dead is a people    1.0000
dead animal    Dead animals provide food    1.0000
dead aphid    Dead aphids remain attached to plant leaves and eventually dry up    0.7345
dead bird    Dead birds have blood    1.0000
dead body    Dead bodies are located in war    1.0000
dead center    A dead center is a position    1.0000
dead chipmunk    Dead chipmunks to eat food    1.0000
dead coral    Dead corals decay faster into sand than live corals    0.7395
dead end    A dead end is passage    1.0000
dead fish    Dead fish are capable of floats    1.0000
dead flower    Dead flowers are organic matter    1.0000
dead fly    Dead flies are located in windowsills    1.0000
dead girl    Dead girls leave homes    1.0000
dead grass    Dead grass is brown    1.0000
dead hand    A dead hand is influence    1.0000
dead language    Dead language is language    1.0000
dead leaf    Dead leafs are located in forests    1.0000
dead letter    Dead letters are states    1.0000
dead lobster    Dead lobsters consume oxygen in the water when they decompose    0.8193
dead man    Dead men are albums    1.0000
dead nettle    Dead nettle is a poisonous plant    0.7223
dead organism    Dead organisms decay quickly in the hot, moist rain forest environment    0.7030
dead people    Dead people are located in war    1.0000
dead people server    Dead people servers have bias    1.0000
dead person    Dead people save life    1.0000
dead phytoplankton    Dead phytoplankton can sink to the ocean floor    0.7247
dead plant matter    Dead plant matter provides vitamins    1.0000
dead sea    Dead sea is lakes    1.0000
dead shark    Dead sharks sink to the ocean floor where they are covered by layers of sand and silt    0.7016
dead skin    Dead skin surrounds salty flesh    1.0000
dead space    Dead space is video games    1.0000
dead sperm whale    Dead sperm whales wash up on south coasts    1.0000
dead tree    Dead trees are located in forests    1.0000
dead weight    Dead weight is weight    1.0000
dead whale    Dead whales wash up on south coasts    1.0000
deadbeat    A deadbeat is a person    1.0000
deadbeat dad    A deadbeat dad is a deadbeat    1.0000
deadbolt    A deadbolt is a bar    1.0000
deadeye    A deadeye is a disk    1.0000
deadhead    A deadhead is a person    1.0000
deadlight    A deadlight is a shutter    1.0000
deadline    A deadline is a point    1.0000
deadly disease    Deadly diseases affect animals    1.0000
deadly illness    Deadly illnesses are caused by bacteria    1.0000
deadly nightshade    A deadly nightshade is a herb    1.0000
deadly predator    Deadly predators strike prey    1.0000
deadly snake    Deadly snakes make swish sound    1.0000
deaf people    Deaf people are people    1.0000
deaf person    A deaf person is a person    1.0000
deal    Deals are agreement    1.0000
dealer    Dealers are located in casinos    1.0000
dealership    A dealership is business    1.0000
dealing    Dealing is interchanges    1.0000
deamination    Deamination produces ammonia, which the cells release into the blood stream    0.8068
dean    Deans are elders    1.0000
deanery    A deanery is a residence    1.0000
dear    A dear is a lover    1.0000
dearth    Dearth is lack    1.0000
death adder    Death adders strike prey    1.0000
death cama    Death camas is the common name of several plant species poisonous to livestock    0.7170
death camp    A death camp is a concentration camp    1.0000
death certificate    Death certificates are legal forms    1.0000
death duty    A death duty is a transfer tax    1.0000
death knight    Death knights have instinct    1.0000
death metal    Death metal is heavy metal    1.0000
death metal band    Death metal bands play music    1.0000
death notice    Death notice appears in newspapers    1.0000
death penalty    A death penalty is corporal punishment    1.0000
death rate    A death rate is a rate    1.0000
death rattle    Death rattle is caused by saliva pooling at the back of the throat    0.7377
death row    A death row is a ward    1.0000
death squad    Death squads are organizations    1.0000
death toll    Death tolls are prices    1.0000
death valley    Death valleys are deserts    1.0000
deathwatch beetle    A deathwatch beetle is a beetle    1.0000
deb    A deb is a woman    1.0000
debate team    Debate teams are teams    1.0000
debater    A debater is a person    1.0000
debating    Debatings are discussings    1.0000
debenture    Debentures are legal documents    1.0000
debit    Debits are entries    1.0000
debris avalanche    Debris avalanches are unchannelized debris flows that move very rapidly    0.7608
debt    Debt is the accumulation of deficits over time    0.7333
debt collection agency    Debt collection agencies employ representatives    1.0000
debt consolidation    Debt consolidation is financings    1.0000
debtor    A debtor is a person    1.0000
debugger    A debugger is a computer programme    1.0000
debut    A debut is a beginning    1.0000
dec    A dec is an angle    1.0000
decade    Decades are time periods    1.0000
decade volcano    Decade volcanoes are volcanoes that erupt every couple of decades    0.7436
decaffeinated coffee    Decaffeinated coffee is coffee    1.0000
decagon    A decagon is a figure    1.0000
decantation    A decantation is a transfusion    1.0000
decanter    Decanters are located in labs    1.0000
decapod    Decapods eat plants    1.0000
decapod crustacean    A decapod crustacean is a crustacean    1.0000
decarboxylase    Decarboxylases are inducible enzymes    0.8616
decarboxylation    A decarboxylation is a chemical action    1.0000
decay    Decay depends on warmth    1.0000
decay fungus    Decay fungi are suspected of transporting certain elements into decaying wood    0.8173
decay vegetation    Decay vegetation provides food    1.0000
decay wood    Decay wood has texture    1.0000
decayed leave    Decayed leaves add to the soil nutrients that feed trees, shrubs, flowers and vegetables    0.7308
decayed material    Decayed materials provide minerals and other food for plants growing in humus    0.7391
decayed trunk    Decayed trunks build soil or hold water like a sponge    0.7370
decease    Decease isa alteration    1.0000
decease worker    Decease workers enter areas    1.0000
deceased person    A deceased person is a person    1.0000
deceit    Deceit isa quality    1.0000
deceiver    A deceiver is an offender    1.0000
deceleration    Deceleration is the decrease of velocity    0.7252
decency    A decency is propriety    1.0000
decent actor    Decent actors play roles    1.0000
decent food    Decent food has proteins    1.0000
decent man    Decent men live at homes    1.0000
decent player    Decent players study games    1.0000
decent young man    Decent young men live at homes    1.0000
decentralisation    Decentralisation is spreading    1.0000
decentralization    Decentralization is a social process    1.0000
deception    Deception explains choices    1.0000
dechorionated embryo    Dechorionated embryos lie on their sides when at rest, yolk sac obliquely upwards    0.7130
decibel    Decibels measure the relative loudness of sounds    0.7537
deciduous fern    Deciduous ferns have fronds    1.0000
deciduous forest    Deciduous forests contain trees that shed their leaves    0.8334
deciduous holly    A deciduous holly is a holly    1.0000
deciduous molar    Deciduous molars perform functions    1.0000
deciduous tooth    Deciduous teeth consist of lower incisors    1.0000
deciduous tree    Deciduous trees are trees that shed their leaves anually    0.8340
deciduous vine    Deciduous vines have roots    1.0000
deciduous woodland    Deciduous woodlands provide habitats    1.0000
decile    A decile is a score    1.0000
decimal    Decimals are numbers    1.0000
decimal notation    Decimal notation is mathematical notation    1.0000
decimal point    Decimal points are mathematical notation    1.0000
decimalization    Decimalization is an action    1.0000
decimation    Decimation is destruction    1.0000
decision    Decisions base on values    1.0000
decision maker    Decision makers to identify parameters    1.0000
decision table    A decision table is artificial language    1.0000
decisive factor    A decisive factor is determinant    1.0000
deck    Decks are part of ships    1.0000
decker    Deckers are artifacts    1.0000
deckhand    A deckhand is a seaman    1.0000
deckle    A deckle is a framework    1.0000
declaration    Declarations are testimony    1.0000
declarative    A declarative is modality    1.0000
declarative memory    Declarative memory is the ability to remember names, faces, telephone numbers, or important events    0.7052
declarative sentence    A declarative sentence is a sentence    1.0000
declassification    Declassification is decrease    1.0000
declension    Declension is defined as the angular distance north or south of the celestial equator    0.7515
declination    Declination is the angular distance north or south of the celestial equator    0.7631
decline    Declines are conditions    1.0000
deco    A deco is art movement    1.0000
decoction    A decoction is an extraction    1.0000
decoder    A decoder is a machine    1.0000
decolonisation    Decolonisation is a group action    1.0000
decolonization    Decolonization is group actions    1.0000
decomposition    Decomposition follows death    1.0000
decomposition product    Decomposition products arise from decay    1.0000
decomposition reaction    Decomposition reaction is reaction    1.0000
decompression    Decompression is a period following a major life change    0.7274
decompression melting    Decompression melting involves the upward movement of Earth's mostly-solid mantle    0.7534
decompression sickness    Decompression sickness is an illness    1.0000
decongestant    Decongestants are medicine    1.0000
deconstruction    Deconstruction is a philosophical theory    1.0000
deconstructionism    Deconstructionism is a philosophical theory    1.0000
decontamination    Decontamination is a removal    1.0000
decoration    Decoration is an artifact    1.0000
decorator    Decorators are artists    1.0000
decorator crab    Decorator crabs eat sea urchins, small crustaceans, and sponges    0.8403
decortication    A decortication is an operation    1.0000
decoupage    Decoupages are art    1.0000
decoy    Decoys are deceivers    1.0000
decrease    Decrease is processes    1.0000
decrease concentration    Decrease concentration corresponds to forces    1.0000
decreased reactivity    Decreased reactivity is a sign of atherosclerosis    0.7541
decree    A decree is an act    1.0000
decriminalization    Decriminalizations are legislation    1.0000
decryption    Decryption is a writing    1.0000
decubitus ulcer    Decubitus ulcer is ulcer    1.0000
dedication    Dedication is ceremony    1.0000
dedifferentiated cell    Dedifferentiated cells are specialised cells, which can revert back to an embryonic state    0.8177
dedifferentiation    A dedifferentiation is adjustment    1.0000
dedritic cell    Dedritic cells develop from monocytes , white blood cells which circulate in the body     0.8506
deductible    A deductible is a clause    1.0000
deed    Deeds are legal forms    1.0000
deep breathing    Deep breathing helps to release cramps since it increases oxygen availability    0.7144
deep burrow    Deep burrows contain circular chambers    1.0000
deep cell    Deep cells undergo radial intercalation to form a coherent sheet known as the hypoblast    0.7550
deep diver    Deep divers need dense bones    1.0000
deep earthquake    Deep earthquakes occur in areas where oceanic crust is being actively subducted    0.7023
deep exploration    Deep exploration leads to discoveries    1.0000
deep freezer    A deep freezer is a household appliance    1.0000
deep frostbite    Deep frostbite involves skin, tissue, muscle and bone    0.7450
deep hemangioma    Deep hemangiomas occur in lower dermis or subcutaneous tissue below the collagen layer    0.7773
deep hibernation    Deep hibernation is a state in which an animal is inactive for many days or weeks    0.8106
deep layer    Deep layers retain water    1.0000
deep orchid    Deep orchids grow in regions    1.0000
deep percolation    Deep percolation is the movement of water below the root zone of the crop    0.7221
deep pocket    Deep pockets are assets    1.0000
deep pool    Deep pools retain water    1.0000
deep red    Deep REDS are a product of strontium     0.7404
deep red oil    Deep red oil holds many benefits    1.0000
deep root    Deep roots provide nutrients    1.0000
deep sea angler fish    Deep sea angler fish have expandable jaws    1.0000
deep sea anglerfish    Deep sea anglerfish have appearances    1.0000
deep sea animal    Deep sea animals have structures    1.0000
deep sedation    Deep sedation is when the child is asleep for a short period    0.7405
deep shade    Deep shade is defined as an exposure that receives no direct sunlight during the day    0.7141
deep sleep    Deep sleep is the part of sleep that our body and brain needs to recover from the day    0.7368
deep snow    Deep snow occurs in areas    1.0000
deep space    Deep space is a region    1.0000
deep time    Deep time is the billions of years that cover the Earth's history    0.7158
deep water    Deep water returns to surfaces    1.0000
deeper frostbite    Deeper frostbite occurs when the lower layers of tissue also freeze    0.7622
deer    Deer have long distance movement    1.0000
deer antler    Deer antlers can grow up to two centimetres a day    0.7195
deer boar    Deer boars rely on presence    1.0000
deer fern    A deer fern is a fern    1.0000
deer fly    Deer flies are usually most active in the early morning and late evening    0.7537
deer grass    Deer grass has ranges    1.0000
deer hunter    Deer hunters are hunters    1.0000
deer mouse    Deer mice have round and slender bodies    0.8121
deerhound    A deerhound is a hound    1.0000
deerskin    A deerskin is a leather    1.0000
defalcation    Defalcation is an amount    1.0000
defamation    Defamation is a message    1.0000
default    Defaults are failure    1.0000
defeat    A defeat is a conclusion    1.0000
defeated    Defeateds are people    1.0000
defeatism    Defeatisms are resignation    1.0000
defeatist    A defeatist is a pessimist    1.0000
defecation    Defecation is elimination    1.0000
defect    A defect is a state    1.0000
defection    A defection is a withdrawal    1.0000
defective gene    Defective genes cause inborn errors of metabolism    0.8064
defective glia    Defective glia induce neuronal apoptosis in the repo visual system of Drosophila    0.7647
defector    A defector is an offender    1.0000
defence    Defence is protection    1.0000
defence policy    Defence policy is a program    1.0000
defence scientist    Defence scientists work in fields    1.0000
defendant    Defendants are litigants    1.0000
defenestration    Defenestration is an expulsion    1.0000
defense    Defense is collections    1.0000
defense attorney    Defense attorneys are lawyers    1.0000
defense contractor    Defense contractors are workers    1.0000
defense lawyer    A defense lawyer is a lawyer    1.0000
defense mechanism    Defense mechanisms are processes    1.0000
defense system    A defense system is an arms    1.0000
defensive end    Defensive ends are defensive linemans    1.0000
defensive programming    Defensive programming are computer programming    1.0000
defensive spine    Defensive spines are sharp protrusions that come off an animal    0.8349
defensive tackle    Defensive tackles are defensive linemans    1.0000
defensiveness    A defensiveness is ability    1.0000
deference    Deference is civility    1.0000
deferment    Deferment is a delay    1.0000
deferral    Deferral is a delay    1.0000
deferred payment    A deferred payment is a payment    1.0000
defiance    Defiance is challenge    1.0000
defibrillation    Defibrillation causes simultaneous depolarization of all Cardiac muscle fibers    0.7347
defibrillator    Defibrillators tend to synchronize the heart's electrical system    0.7650
deficiency    Deficiencies impair ability    1.0000
deficiency disease    Deficiency diseases arise when our bodies are deprived of a vitamin for a prolonged time    0.8002
deficit    A deficit is a deficiency    1.0000
deficit spending    Deficit spending are spending    1.0000
defilement    A defilement is a sanitary condition    1.0000
definite article    A definite article is an article    1.0000
definite diagnosis    Definite diagnoses require identification    1.0000
definite integral    A definite integral is an integral    1.0000
definite quantity    Definite quantity isa quantity    1.0000
definition    Definition applies to rules    1.0000
definitive host    A definitive host is a host    1.0000
deflagration    A deflagration is combustion    1.0000
deflation    Deflation is a physical process    1.0000
defoliation    Defoliation is an action    1.0000
deforestation    Deforestation is the permanent destruction of indigenous forests and woodlands    0.7635
deformation    Deformation involves folding and fracture of rock bodies    0.7374
deformational plagiocephaly    Deformational plagiocephaly is a condition in which a baby's head has an uneven or irregular shape    0.7635
deformed cell    Deformed cells express different biosynthetic activity relative to undeformed cells    0.7023
deformity    Deformities are caused by conditions    1.0000
degeneracy    A degeneracy is abjection    1.0000
degenerate    Degenerates have (part) heads    1.0000
degenerate electron pressure    Degenerate electron pressure resists forces    1.0000
degenerate matter    Degenerate matter has unusual properties    1.0000
degeneration    Degeneration is a process where wear and tear causes deterioration    0.7403
degenerative disease    Degenerative diseases occur as a result of the natural aging of the body tissues    0.8209
degenerative spondylolisthesis    Degenerative spondylolisthesis is a forward slippage secondary to arthritis of the spine    0.7668
deglutition    Deglutition is an activity    1.0000
degree    Degrees affect functions    1.0000
degree day    A degree day is an unit    1.0000
degree murderer    Degree murderers are sentenced to death    1.0000
degree of freedom    Degree of freedom is a variable    1.0000
degree program    A degree program is a curriculum    1.0000
dehiscence    Dehiscence is accomplished sometimes by the formation of holes or pores, sometimes by slits    0.7493
dehumanization    Dehumanization is degradations    1.0000
dehydrated food    Dehydrated food is located in backpacks    1.0000
dehydrated skin    Dehydrated skin is lack of water    0.8298
dehydrated vegetable    Dehydrated vegetables are fresh vegetables that have been cleaned, trimmed, and cut into pieces    0.7722
dehydrated water    Dehydrated water is a hydrogen atom-and the most compressed form of water is steam    0.8107
dehydration    Dehydration is part of plastinations    1.0000
dehydration reaction    Dehydration reaction involves bonds    1.0000
deicer    A deicer is a heater    1.0000
deinonychus    Deinonychuses have (part) vertebrate feet    1.0000
deionized water    Deionized water is a kind of water from which all minerals and foreign elements have been removed    0.7467
deist    A deist is a nonreligious person    1.0000
dejection    Dejection is a deadly disease which can harm the body acutely or on a chronic basis    0.7545
delaide    Adelaide isa thing    1.0000
delavirdine    Delavirdine is broken down by the liver and can interact with other drugs that also use the liver    0.7327
delegate    Delegates are located in conferences    1.0000
delegating    Delegating are authorization    1.0000
delegation    A delegation is an organization    1.0000
deletion    Deletions are mutation    1.0000
delft    A delft is earthenware    1.0000
deli    Delis are restaurants    1.0000
deliberation    Deliberation is consideration    1.0000
delicacy    Delicacies include crabs    1.0000
delicate plant    Delicate plants grow leaves    1.0000
delicatessen    A delicatessen is convenience food    1.0000
delicious food    Delicious food prevents diseases    1.0000
delicious meal    Delicious meals are located in ovens    1.0000
delight    Delight is pleasure    1.0000
delimitation    Delimitation is a boundary    1.0000
delinquent    Delinquents are wrongdoers    1.0000
deliverable    A deliverable is a product    1.0000
deliverance    Deliverance is films    1.0000
delivery    Deliveries are transportation    1.0000
delivery truck    A delivery truck is a van    1.0000
dell    A dell is a hollow    1.0000
delphinium    Delphinium has no florets or they are full of holes    0.8193
delta    Deltas are letters    1.0000
delta cell    Delta cells secrete the hormone somatostatin, which inhibits insulin and glucagon secretion    0.8209
delta sleep    Delta sleep is also the time period where a person's body repairs itself    0.7075
delta wave    A delta wave is a natural phenomenon    1.0000
delta wing    A delta wing is a plane    1.0000
deluge    Deluge isa phenomenon    1.0000
delusional disorder    Delusional disorder is a mental disturbance    1.0000
demagogue    A demagogue is a politician    1.0000
demagoguery    Demagoguery is appeal    1.0000
demagogy    Demagogy is appeal    1.0000
demand    Demand is rationals    1.0000
demand deposit    A demand deposit is a bank deposit    1.0000
demand growth    Demand growth drives opportunity    1.0000
demand loan    A demand loan is a loan    1.0000
demanding    Demandings is requestings    1.0000
demarcation    Demarcation is a boundary    1.0000
demarcation line    A demarcation line is a boundary    1.0000
demeanor    Demeanor is traits    1.0000
demerit    A demerit is quality    1.0000
demesne    A demesne is a real estate    1.0000
demigod    Demigod is a leader    1.0000
demilitarized zone    A demilitarized zone is a zone    1.0000
demineralization    Demineralization allows bones to deform when bearing normal amounts of weight    0.7364
demo    A demo is visual communication    1.0000
demobilisation    Demobilisation is social control    1.0000
demobilization    Demobilization is social control    1.0000
democracy    Democracy is political systems    1.0000
democrat    Democrats are advocates    1.0000
democratic nation    Democratic nations take actions    1.0000
democratic president    Democratic presidents to lead nations    1.0000
democratic value    Democratic values come from parents    1.0000
democratisation    Democratisation is a group action    1.0000
democratization    Democratization is group actions    1.0000
demodulator    A demodulator is a rectifier    1.0000
demographer    Demographers are skilled workers    1.0000
demographic    A demographic is a statistic    1.0000
demographic factor    Demographic factors relate to population size    1.0000
demography    A demography is a sociology    1.0000
demoiselle    Demoiselles have (part) vacuoles    1.0000
demolition    Demolition is destruction    1.0000
demon    A demon is evil spirit    1.0000
demonstration    Demonstrations are communicating    1.0000
demonstrative    A demonstrative is a pronoun    1.0000
demonstrative adjective    Demonstrative adjectives are demonstrative pronouns placed before nouns they modify    0.7087
demonstrator    Demonstrators are salespersons    1.0000
demoralisation    Demoralisation is a degradation    1.0000
demoralization    Demoralization is confusion    1.0000
demotion    Demotion is an action    1.0000
demulcent    A demulcent is medicine    1.0000
demurrage    A demurrage is a delay    1.0000
demurrer    A demurrer is a due process    1.0000
demyelination    Demyelination occurs in peripheral nerves and nerve roots    0.7788
denationalization    A denationalization is social control    1.0000
dende oil    Dende oil is a palm oil high in saturated fat    0.7848
dendritic cell    Dendritic cells exhibit direct anticancer effector function    0.7800
dendritic colony    Dendritic colonies have a branching form like trees    0.7255
dendritic crystal    Dendritic crystals are elongate crystals that branch to the sides    0.8090
dendritic growth    Dendritic growth begins at the tip of the stinger tube    0.7052
dendritic spine    Dendritic spines are the site of most excitatory synaptic input in the brain    0.8201
dendritic tree    Dendritic tree remains within the confines of the nucleus    0.7118
dendrobium    Dendrobium is in the orchid plant family    0.7672
dengue    Dengue is spread by day-biting mosquitos that prefer feeding on humans    0.7641
dengue fever    Dengue fever is a flu-like illness spread by the bite of an infected mosquito    0.8111
dengue virus    Dengue viruses are endemic in many countries of the Caribbean, Central and parts of tropical Africa    0.7290
denial    Denial is statements    1.0000
denier    Deniers are coin    1.0000
denim    Denims have (part) pocket flaps    1.0000
denitrify bacterium    Denitrify bacteria convert nitrate    1.0000
denizen    A denizen is an organism    1.0000
denomination    Denomination is nongovernmental organizations    1.0000
denominationalism    A denominationalism is intolerance    1.0000
denotation    Denotation is a naming    1.0000
dense cloud    Dense clouds show development    1.0000
dense cold air    Dense cold air has pressure    1.0000
dense connective tissue    Dense connective tissue contains large vessels    1.0000
dense evergreen foliage    Dense evergreen foliage provides shelter    1.0000
dense fiber    Dense fibers protect mammalian sperm against damage    0.7041
dense fog    Dense fog reduces visibility    1.0000
dense foliage    Dense foliage provides shelter    1.0000
dense food    Dense food provides plenty    1.0000
dense fur    Dense fur provides protection    1.0000
dense infestation    Dense infestations form when numerous systems grow from buds below the soil surface    0.7362
dense irregular connective tissue    Dense irregular connective tissue contains collagen fiber    1.0000
dense meal    Dense meals support health    1.0000
dense reproduction    Dense reproduction occurs when trees shed millions of seeds    0.8021
dense shade    Dense shade describes the shade under a large, heavily-leaved tree    0.7119
dense smoke    Dense smoke is produced when product burns    0.7872
dense tissue    Dense tissue contains fiber    1.0000
dense vegetation    Dense vegetation provides environments    1.0000
dense water    Dense water produces environments    1.0000
densification    Densification is concentration    1.0000
densitometer    A densitometer is an instrument    1.0000
densitometry    Densitometry is a measurement    1.0000
density    Density is the mass of an object per unit volume    0.7523
density fluctuation    Density fluctuations represent variation    1.0000
dent    Dents are the results of wood fibers being crushed and compressed    0.7596
dent corn    Dent corn is field corn    1.0000
dental amalgam    Dental amalgam is a mixture of mercury, and an alloy of silver, tin and copper    0.8237
dental anatomy    Dental anatomy is a field of anatomy dedicated to the study of human tooth structures    0.7017
dental appliance    A dental appliance is a device    1.0000
dental attrition    Dental attrition is the natural result of a diet high in unprocessed vegetal materials and grit    0.7129
dental care    Dental care affects ability    1.0000
dental carie    Dental caries is caused by acid formed by bacterial breakdown in plaque of sugar in the diet    0.8168
dental dam    Dental dams are square sheets of latex used by dentists to isolate a tooth and control infection    0.7417
dental decay    Dental decay is located in mouths    1.0000
dental disease    Dental disease begins with plaque    0.7139
dental disorder    Dental disorders can cause excessive salivation in cats    0.7858
dental enamel    Dental enamel is the hardest substance our bodies can produce, even harder than bone    0.7214
dental epithelium    Dental epithelium folds to form the shape of the tooth prior to differentiation of tooth tissues    0.8363
